step	fsdp2_align_loss	ds_baseline_loss	loss_abs	loss_pct	fsdp2_align_grad	ds_baseline_grad	grad_abs	grad_pct	fsdp2_align_lr	ds_baseline_lr	fsdp2_align_tok	ds_baseline_tok
1	2.03022385	2.02941513	0.000808720000000207	0.00039849904932964954	151.0	66.47613525	84.52386475	1.2714918584259907	1e-05	1.33e-06	38498	38498
2	2.0351181	2.03606415	-0.0009460500000000316	-0.00046464646018153777	44.75	49.21046448	-4.460464479999999	-0.09064056856876063	2e-05	2.67e-06	74566	74566
3	1.55060959	1.75942993	-0.20882033999999994	-0.11868636337225429	61.5	36.51027679	24.98972321	0.6844572379918131	1.997e-05	4e-06	25739	25739
4	1.69262505	2.26591492	-0.5732898700000002	-0.2530059116253139	13.9375	62.9544487	-49.0169487	-0.7786097680496407	1.986e-05	5.33e-06	32353	32353
5	1.58673096	1.96479797	-0.3780670100000001	-0.1924202975433653	16.125	45.04483032	-28.919830320000003	-0.6420232935622701	1.969e-05	6.67e-06	66302	66302
6	1.34089088	1.58998871	-0.2490978300000002	-0.15666641431686654	8.375	24.37308884	-15.998088840000001	-0.6563833146065864	1.946e-05	8e-06	44459	44459
7	1.38960457	1.4672966	-0.07769203000000013	-0.05294909699920257	74.5	7.53219128	66.96780872	8.89087998837969	1.916e-05	9.33e-06	34223	34223
8	1.20199585	1.28025055	-0.07825470000000001	-0.061124519727798594	2.96875	11.86321068	-8.89446068	-0.7497515571391673	1.879e-05	1.067e-05	28101	28101
9	1.40861702	1.66692352	-0.2583065	-0.15496001880158244	5.15625	37.98218918	-32.82593918	-0.864245581644486	1.837e-05	1.2e-05	66587	66587
10	1.37394714	1.6144104	-0.24046325999999985	-0.14894803700471693	3.203125	18.92869186	-15.72556686	-0.8307793785386287	1.789e-05	1.333e-05	67200	67200
11	1.43094492	1.62076902	-0.18982410000000005	-0.11711977318026479	6.34375	14.53076172	-8.18701172	-0.5634261904337386	1.736e-05	1.467e-05	39476	39476
12	1.44211483	1.56233835	-0.12022352000000014	-0.07695101384408834	26.25	8.68418121	17.56581879	2.0227374769394064	1.677e-05	1.6e-05	59876	59876
13	1.38852882	1.46458244	-0.07605361999999993	-0.05192853466138781	8.3125	6.256814	2.0556859999999997	0.328551559947283	1.614e-05	1.733e-05	58481	58481
14	1.29844284	1.34105778	-0.04261493999999999	-0.031777109558993044	4.09375	28.1791954	-24.0854454	-0.8547243829396207	1.547e-05	1.867e-05	30234	30234
15	1.22996044	1.28346062	-0.05350018000000012	-0.04168431751338044	3.234375	5.18581867	-1.9514436699999997	-0.37630387681873956	1.476e-05	2e-05	52817	52817
16	1.34968948	1.37787437	-0.028184889999999907	-0.020455340932134407	3.640625	5.45783424	-1.8172092400000004	-0.3329542745512184	1.402e-05	2e-05	20663	20663
17	1.32207203	1.3480525	-0.025980470000000144	-0.019272595095517528	13.8125	4.21213388	9.60036612	2.2792167565196197	1.325e-05	2e-05	62863	62863
18	1.33044434	1.35613251	-0.02568817000000001	-0.018942227113189707	6.5625	3.83783865	2.72466135	0.7099468212401269	1.245e-05	1.999e-05	37594	37594
19	1.47570801	1.47541285	0.00029515999999985	0.0002000524802260262	5.46875	17.51921844	-12.05046844	-0.6878428099558532	1.165e-05	1.999e-05	44143	44143
20	1.40884209	1.41303205	-0.004189959999999937	-0.0029652264433775136	5.84375	3.31063557	2.53311443	0.7651444492877238	1.083e-05	1.998e-05	54001	54001
21	1.33146667	1.31683636	0.014630310000000035	0.011110195954795808	14.25	4.49000168	9.759998320000001	2.173718188898317	1e-05	1.998e-05	35412	35412
22	1.20927811	1.19665051	0.012627600000000072	0.010552454450548032	3.25	7.683146	-4.433146	-0.5769961940069862	9.17e-06	1.997e-05	36246	36246
23	1.38602638	1.37360001	0.012426369999999798	0.009046570988303792	2.234375	5.94808769	-3.7137126900000004	-0.6243540585730672	8.35e-06	1.996e-05	43318	43318
