step	fsdp2_warmup15_loss	ds_baseline_loss	loss_abs	loss_pct	fsdp2_warmup15_grad	ds_baseline_grad	grad_abs	grad_pct	fsdp2_warmup15_lr	ds_baseline_lr	fsdp2_warmup15_tok	ds_baseline_tok
1	2.03022385	2.02941513	0.000808720000000207	0.00039849904932964954	155.0	66.47613525	88.52386475	1.3316638281856195	1.33e-06	1.33e-06	38498	38498
2	2.0351181	2.03606415	-0.0009460500000000316	-0.00046464646018153777	44.75	49.21046448	-4.460464479999999	-0.09064056856876063	2.67e-06	2.67e-06	74566	74566
3	1.7583046	1.75942993	-0.0011253300000000355	-0.0006395992138203739	36.0	36.51027679	-0.5102767899999989	-0.013976250931621572	4e-06	4e-06	25739	25739
4	2.30304909	2.26591492	0.037134169999999855	0.016388157239372366	50.5	62.9544487	-12.4544487	-0.19783270217089519	5.33e-06	5.33e-06	32353	32353
5	2.12286377	1.96479797	0.15806579999999992	0.08044888197843564	49.25	45.04483032	4.205169679999997	0.09335521191058617	6.67e-06	6.67e-06	66302	66302
6	1.76387024	1.58998871	0.17388152999999984	0.10936022935659702	66.0	24.37308884	41.62691116	1.7079046251898862	8e-06	8e-06	44459	44459
7	1.79131699	1.4672966	0.32402039000000005	0.22082814749247018	34.5	7.53219128	26.96780872	3.5803403973033463	9.33e-06	9.33e-06	34223	34223
8	1.46975708	1.28025055	0.18950652999999984	0.14802300221624573	30.375	11.86321068	18.51178932	1.5604366995866248	1.067e-05	1.067e-05	28101	28101
9	1.59105682	1.66692352	-0.07586670000000018	-0.0455130058996349	24.25	37.98218918	-13.732189179999999	-0.3615428567037641	1.2e-05	1.2e-05	66587	66587
10	1.50756073	1.6144104	-0.1068496699999999	-0.06618494900677047	34.0	18.92869186	15.07130814	0.7962149868289947	1.333e-05	1.333e-05	67200	67200
11	1.55883789	1.62076902	-0.061931130000000056	-0.0382109537113438	7.75	14.53076172	-6.780761719999999	-0.46664874496338515	1.467e-05	1.467e-05	39476	39476
12	1.56606722	1.56233835	0.0037288699999999952	0.0023867237208892653	988.0	8.68418121	979.31581879	112.77008103680508	1.6e-05	1.6e-05	59876	59876
13	1.5144577	1.46458244	0.049875259999999866	0.03405425235058797	27.75	6.256814	21.493186	3.4351646061398022	1.733e-05	1.733e-05	58481	58481
14	1.43426323	1.34105778	0.09320544999999991	0.06950144236141705	31.5	28.1791954	3.320804599999999	0.11784596944169665	1.867e-05	1.867e-05	30234	30234
15	1.36448097	1.28346062	0.08102034999999996	0.0631264790968031	12.9375	5.18581867	7.75168133	1.4947844927250418	2e-05	2e-05	52817	52817
16	1.44993591	1.37787437	0.07206153999999998	0.0522990641011778	25.5	5.45783424	20.04216576	3.6721829353322386	1.992e-05	2e-05	20663	20663
17	1.41349602	1.3480525	0.06544351999999987	0.0485467146123759	24.125	4.21213388	19.91286612	4.727500760255987	1.969e-05	2e-05	62863	62863
18	1.39964294	1.35613251	0.04351042999999999	0.032084202450098326	6.21875	3.83783865	2.38091135	0.6203781782227868	1.93e-05	1.999e-05	37594	37594
19	1.53007126	1.47541285	0.054658409999999824	0.03704617998955331	78.5	17.51921844	60.98078156	3.4807934936622664	1.876e-05	1.999e-05	44143	44143
20	1.46187496	1.41303205	0.04884291000000007	0.034566031251732805	14.5625	3.31063557	11.25186443	3.398702210524488	1.809e-05	1.998e-05	54001	54001
21	1.38498878	1.31683636	0.0681524200000001	0.05175466145239193	3.8125	4.49000168	-0.6775016799999998	-0.15089118630352044	1.729e-05	1.998e-05	35412	35412
22	1.25178719	1.19665051	0.05513667999999994	0.046075842143751676	29.75	7.683146	22.066854	2.872111762551434	1.637e-05	1.997e-05	36246	36246
23	1.4264183	1.37360001	0.05281828999999982	0.03845245312716605	3.921875	5.94808769	-2.0262126900000004	-0.3406494314813977	1.536e-05	1.996e-05	43318	43318
24	1.29294395	1.24372864	0.0492153099999999	0.03957077807583485	7.25	17.09291267	-9.84291267	-0.575847596020041	1.426e-05	1.995e-05	62947	62947
25	1.4610796	1.40783882	0.05324077999999988	0.037817383100715946	1.7890625	9.86078453	-8.07172203	-0.8185679349795102	1.309e-05	1.994e-05	86358	86358
26	1.27143002	1.22162724	0.049802780000000046	0.04076757489461356	8.0	6.80848694	1.1915130600000001	0.1750040898220479	1.187e-05	1.992e-05	35900	35900
27	1.30823898	1.24427605	0.06396292999999997	0.05140573910427672	4.84375	9.05325794	-4.20950794	-0.4649716121973213	1.063e-05	1.991e-05	55389	55389
28	1.26945984	1.21537805	0.05408178999999991	0.04449791568969006	3.734375	6.1642251	-2.4298501000000003	-0.39418581582947065	9.37e-06	1.989e-05	54815	54815
29	1.33860207	1.27944183	0.0591602400000002	0.046239100999222606	7.875	6.6708312	1.2041687999999997	0.18051255741563355	8.13e-06	1.988e-05	67681	67681
30	1.35197449	1.29690695	0.055067540000000026	0.042460671523118935	4.5625	48.17294312	-43.61044312	-0.9052891580936897	6.91e-06	1.986e-05	36269	36269
31	1.40246773	1.35126173	0.05120599999999986	0.03789495318571618	5.03125	5.17275524	-0.14150523999999987	-0.0273558738882066	5.74e-06	1.984e-05	32066	32066
32	1.30405426	1.2462244	0.05782986000000001	0.0464040505064738	7.15625	26.07061958	-18.91436958	-0.7255051811085497	4.64e-06	1.982e-05	31464	31464
33	1.37813377	1.31250167	0.06563209999999997	0.05000534589795986	6.1875	20.6859417	-14.4984417	-0.7008838132807848	3.63e-06	1.98e-05	53310	53310
34	1.31887817	1.26147509	0.05740308000000005	0.04550472732679965	83.0	18.75597954	64.24402046	3.4252554137729674	2.71e-06	1.977e-05	64590	64590
35	1.33176041	1.28464127	0.04711913999999995	0.036678830970454455	3.84375	251.05889893	-247.21514893	-0.9846898476159106	1.91e-06	1.975e-05	52403	52403
36	1.32528687	1.27019119	0.05509567999999998	0.04337589524613218	85.0	48.3645134	36.6354866	0.7574869263545615	1.24e-06	1.972e-05	18426	18426
37	1.45639038	1.3981781	0.058212280000000005	0.04163438119936223	18.25	14.11616802	4.13383198	0.29284377843499204	7e-07	1.969e-05	32810	32810
38	1.29932785	1.23910141	0.0602264400000001	0.04860493218226594	2.234375	11.111063	-8.876688	-0.7989053792602921	3.1e-07	1.967e-05	36362	36362
39	1.33724976	1.27306843	0.06418133000000004	0.050414674095720084	8.75	5.57978296	3.17021704	0.5681613537168836	8e-08	1.964e-05	43573	43573
40		1.39654529				9.43410301				1.961e-05	29449	29449
